room_temp,thermostat_outside_temp,damper_position,airflow_current,supply_discharge_temp,clg_signal,htg_signal,htg_valve_position,htg_clg_mode,hour_of_day,day_of_week,setpoint,thermal_signal,room_temp_lag1,damper_lag1
0.20689655172414148,0.07142857142857142,-0.7333327966186316,-0.5985130111524164,-0.7212543554006969,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.35408430674485025,0.2413793103448293,-0.7333327966186316
0.20689655172414148,0.07142857142857142,-0.7333327966186316,-0.5762081784386617,-0.7317073170731706,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.34296739567163004,0.20689655172414148,-0.7333327966186316
0.1724137931034488,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7421602787456444,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.3318504845984099,0.20689655172414148,-0.7333327966186316
0.1034482758620732,0.07142857142857142,-0.7333327966186316,-0.6319702602230484,-0.7456445993031358,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.45491021079114713,0.1724137931034488,-0.7333327966186316
0.06896551724138049,0.07142857142857142,-0.7333327966186316,-0.620817843866171,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.1034482758620732,-0.7333327966186316
0.06896551724138049,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.06896551724138049,-0.7333327966186316
0.034482758620692694,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.06896551724138049,-0.7333327966186316
0.034482758620692694,0.07142857142857142,-0.7333327966186316,-0.620817843866171,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.034482758620692694,-0.7333327966186316
0.0,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.034482758620692694,-0.7333327966186316
-0.034482758620687795,0.07142857142857142,-0.7333327966186316,-0.620817843866171,-0.7560975609756098,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0,-0.7333327966186316
-0.034482758620687795,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7560975609756098,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.45324267411904445,-0.034482758620687795,-0.7333327966186316
-0.06896551724137559,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7595818815331009,1.982643127,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.593718894296841,-0.034482758620687795,-0.7333327966186316
-0.06896551724137559,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7595818815331009,1.491096497,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.604650523492895,-0.06896551724137559,-0.7333327966186316
-0.10344827586206828,0.07142857142857142,-0.7333327966186316,-0.5985130111524164,-0.7630662020905922,0.991218567,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6157674345661152,-0.06896551724137559,-0.7333327966186316
-0.10344827586206828,0.07142857142857142,-0.7333327966186316,-0.5985130111524164,-0.7665505226480835,0.491340637,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6268843456393354,-0.10344827586206828,-0.7333327966186316
-0.1379310344827561,0.07142857142857142,-0.7333327966186316,-0.6096654275092936,-0.7700348432055749,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.10344827586206828,-0.7333327966186316
-0.1724137931034488,0.07142857142857142,-0.7333327966186316,-0.587360594795539,-0.7700348432055749,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.1379310344827561,-0.7333327966186316
-0.1724137931034488,0.07142857142857142,-0.7333327966186316,-0.5985130111524164,-0.7735191637630662,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.1724137931034488,-0.7333327966186316
-0.20689655172413657,0.07142857142857142,-0.7333327966186316,-0.5985130111524164,-0.7700348432055749,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.1724137931034488,-0.7333327966186316
-0.20689655172413657,0.07142857142857142,-0.7333327966186316,-0.587360594795539,-0.7700348432055749,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.20689655172413657,-0.7333327966186316
-0.24137931034482438,0.14285714285714285,-0.7333327966186316,-0.587360594795539,-0.7665505226480835,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.20689655172413657,-0.7333327966186316
-0.24137931034482438,0.14285714285714285,-0.7333327966186316,-0.6319702602230484,-0.7700348432055749,0.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.6378113937052269,-0.24137931034482438,-0.7333327966186316
-0.24137931034482438,0.14285714285714285,-0.7333327966186316,-0.6319702602230484,-0.7735191637630662,0.0,-0.6309184415830902,-0.6264236730349059,False,0.43478260869565216,0.0,-0.5,-0.6378113937052269,-0.24137931034482438,-0.7333327966186316
-0.27586206896551707,0.14285714285714285,-0.7333327966186316,-0.6319702602230484,-0.7735191637630662,0.0,-0.6309184415830902,-0.6264236730349059,False,0.43478260869565216,0.0,-0.5,-0.6378113937052269,-0.24137931034482438,-0.7333327966186316
-0.27586206896551707,0.14285714285714285,-0.7333327966186316,-0.6096654275092936,-0.7804878048780487,0.0,-0.6309184415830902,-0.6264236730349059,False,0.43478260869565216,0.0,-0.5,-0.6378113937052269,-0.27586206896551707,-0.7333327966186316
