room_temp,thermostat_outside_temp,damper_position,airflow_current,supply_discharge_temp,clg_signal,htg_signal,htg_valve_position,htg_clg_mode,hour_of_day,day_of_week,setpoint,thermal_signal,room_temp_lag1,damper_lag1
0.2068965517241414,0.0714285714285714,-0.7333327966186316,-0.5985130111524164,-0.7212543554006969,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.3540843067448502,0.2413793103448293,-0.7333327966186316
0.2068965517241414,0.0714285714285714,-0.7333327966186316,-0.5762081784386617,-0.7317073170731706,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.34296739567163,0.2068965517241414,-0.7333327966186316
0.1724137931034488,0.0714285714285714,-0.7333327966186316,-0.6096654275092936,-0.7421602787456444,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.3318504845984099,0.2068965517241414,-0.7333327966186316
0.1034482758620732,0.0714285714285714,-0.7333327966186316,-0.6319702602230484,-0.7456445993031358,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4549102107911471,0.1724137931034488,-0.7333327966186316
0.0689655172413804,0.0714285714285714,-0.7333327966186316,-0.620817843866171,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.1034482758620732,-0.7333327966186316
0.0689655172413804,0.0714285714285714,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0689655172413804,-0.7333327966186316
0.0344827586206926,0.0714285714285714,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0689655172413804,-0.7333327966186316
0.0344827586206926,0.0714285714285714,-0.7333327966186316,-0.620817843866171,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0344827586206926,-0.7333327966186316
0.0,0.0714285714285714,-0.7333327966186316,-0.6096654275092936,-0.7526132404181184,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0344827586206926,-0.7333327966186316
-0.0344827586206877,0.0714285714285714,-0.7333327966186316,-0.620817843866171,-0.7560975609756098,3.0,-0.6309184415830902,-0.6264236730349059,False,0.391304347826087,0.0,-0.25,-0.4528721104091907,0.0,-0.7333327966186316
