room_temp,thermostat_outside_temp,damper_position,airflow_current,supply_discharge_temp,clg_signal,htg_signal,htg_valve_position,htg_clg_mode,setpoint,thermal_signal
0.5277777777777768,0.375,0.0,0.03612479474548436,0.0759803921568627,0.8909967508038187,0.0,0.0,False,0.4375,0.1225806427
0.5138888888888893,0.375,0.0,0.031198686371100126,0.06372549019607843,0.9273311672025458,0.0,0.0,False,0.4375,0.127579422
0.5138888888888893,0.375,0.0,0.04105090311986859,0.056372549019607865,0.963665583601273,0.0,0.0,False,0.4375,0.1325782013
0.4999999999999982,0.375,0.0,0.026272577996715896,0.0490196078431373,1.0,0.0,0.0,False,0.4375,0.13757698059999998
0.4722222222222232,0.375,0.0,0.016420361247947435,0.04656862745098045,0.5977926508586276,0.0,0.0,False,0.4375,0.08224250793
0.45833333333333215,0.375,0.0,0.021346469622331665,0.04166666666666652,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.45833333333333215,0.375,0.0,0.026272577996715896,0.04166666666666652,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.44444444444444464,0.375,0.0,0.026272577996715896,0.04166666666666652,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.44444444444444464,0.375,0.0,0.021346469622331665,0.04166666666666652,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.4305555555555536,0.375,0.0,0.026272577996715896,0.04166666666666652,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.4166666666666661,0.375,0.0,0.021346469622331665,0.039215686274509665,0.6044539605922999,0.0,0.0,False,0.4375,0.08315895081
0.4166666666666661,0.375,0.0,0.026272577996715896,0.039215686274509665,0.6032428133547801,0.0,0.0,False,0.4375,0.08299232483
0.40277777777777857,0.375,0.0,0.026272577996715896,0.03676470588235303,0.1441115452856508,0.0,0.0,False,0.4375,0.01982643127
0.40277777777777857,0.375,0.0,0.026272577996715896,0.03676470588235303,0.10838270257837015,0.0,0.0,False,0.4375,0.014910964970000001
0.3888888888888875,0.375,0.0,0.031198686371100126,0.03431372549019618,0.07204828617964305,0.0,0.0,False,0.4375,0.00991218567
0.3888888888888875,0.375,0.0,0.031198686371100126,0.0318627450980391,0.03571386978091595,0.0,0.0,False,0.4375,0.004913406370000001
0.375,0.375,0.0,0.026272577996715896,0.02941176470588225,0.0,0.0,0.0,False,0.4375,0.0
0.3611111111111107,0.375,0.0,0.03612479474548436,0.02941176470588225,0.0,0.0,0.0,False,0.4375,0.0
0.3611111111111107,0.375,0.0,0.031198686371100126,0.026960784313725394,0.0,0.0,0.0,False,0.4375,0.0
0.34722222222222143,0.375,0.0,0.031198686371100126,0.02941176470588225,0.0,0.0,0.0,False,0.4375,0.0
0.34722222222222143,0.375,0.0,0.03612479474548436,0.02941176470588225,0.0,0.0,0.0,False,0.4375,0.0
0.3333333333333339,0.40000000000000013,0.0,0.03612479474548436,0.0318627450980391,0.0,0.0,0.0,False,0.4375,0.0
0.3333333333333339,0.40000000000000013,0.0,0.016420361247947435,0.02941176470588225,0.0,0.0,0.0,False,0.4375,0.0
0.3333333333333339,0.40000000000000013,0.0,0.016420361247947435,0.026960784313725394,0.0,0.0,0.0,False,0.375,0.0
0.31944444444444287,0.40000000000000013,0.0,0.016420361247947435,0.026960784313725394,0.0,0.0,0.0,False,0.375,0.0
0.31944444444444287,0.40000000000000013,0.0,0.026272577996715896,0.022058823529411686,0.0,0.0,0.0,False,0.375,0.0
0.31944444444444287,0.40000000000000013,0.0,0.026272577996715896,0.017156862745097978,0.0,0.0,0.0,False,0.375,0.0
0.31944444444444287,0.40000000000000013,0.0,0.026272577996715896,0.01225490196078427,0.0,0.0,0.0,False,0.375,0.0
0.31944444444444287,0.40000000000000013,0.0,0.031198686371100126,0.014705882352941124,0.0,0.0,0.0,False,0.375,0.0
0.30555555555555536,0.40000000000000013,0.0,0.031198686371100126,0.014705882352941124,0.0,0.0,0.0,False,0.375,0.0
0.30555555555555536,0.40000000000000013,0.0,0.026272577996715896,0.017156862745097978,0.0,0.0,0.0,False,0.375,0.0
0.2916666666666661,0.40000000000000013,0.0,0.031198686371100126,0.019607843137254832,0.0,0.0,0.0,False,0.375,0.0
0.2916666666666661,0.40000000000000013,0.0,0.026272577996715896,0.019607843137254832,0.0,0.0,0.0,False,0.375,0.0
0.2916666666666661,0.40000000000000013,0.0,0.016420361247947435,0.019607843137254832,0.0,0.0,0.0,False,0.375,0.0
0.2777777777777768,0.40000000000000013,0.0,0.009852216748768461,0.019607843137254832,0.0,0.0,0.0,False,0.375,0.0
0.2777777777777768,0.40000000000000013,0.0,0.021346469622331665,0.019607843137254832,0.0,0.0,0.0,False,0.375,0.0
